Time [min],PCM Temperature [degC]
0,32.11442786069651
4.844720496894411,33.10945273631842
10.062111801242253,33.35820895522389
14.90683229813665,37.338308457711435
19.75155279503106,42.189054726368155
24.95859213250519,45.616362631288
29.875776397515537,47.86207849640684
34.792960662525886,50.453289110005514
39.9689440993789,51.83526810392482
44.886128364389236,53.73548922056385
49.8033126293996,55.117468214483125
54.9792960662526,56.326699834162525
59.89648033126295,57.27681039248202
65.07246376811594,57.88142620232172
69.98964803312631,58.572415699281365
74.90683229813666,59.34977888336097
79.82401656314701,59.78164731896074
85,60.0407683803206
89.91718426501038,60.12714206744057
94.83436853002073,60.29988944168048
99.75155279503105,60.472636815920396
104.92753623188406,60.6453841901603
109.84472049689441,60.818131564400204
114.76190476190479,60.90450525152016
119.93788819875778,60.90450525152016
124.85507246376812,61.16362631288004
129.77225672877847,62.20011055831951
134.9482401656315,63.841210613598676
139.8654244306418,66.00055279159757
144.7826086956522,67.72802653399668
149.95859213250517,68.93725815367605
155.1345755693582,69.62824765063571
159.7929606625259,69.97374239911552
